TIMISOARA ORPHAN ANALYSIS — bbox lng[21.1, 21.4] lat[45.7, 45.85]
Total features matching bbox: 135
Tolerance: 50m. ORPHAN = length<3km AND (no ref/name OR solo group OR disconnected within group)

idx | @id | name | ref | old_name | old_ref | km | pts | grpSz | conn | first | last | FLAG
--------------------------------------------------------------------------------------------------------------------------------------------
1 | way/217900035 | 118 | 125 | 918 | - | 0.007 | 2 | 6 | Y | 21.27131,45.70037 | 21.27140,45.70035 | 
2 | way/1500862234 | 119 | - | 919 | - | 0.007 | 2 | 4 | Y | 21.16382,45.75708 | 21.16373,45.75707 | 
3 | way/917821310 | 213 | - | - | - | 0.007 | 2 | 17 | Y | 21.31259,45.83046 | 21.31261,45.83040 | 
4 | way/1051911441 | 100 | - | - | - | 0.007 | 2 | 27 | Y | 21.27152,45.77300 | 21.27143,45.77298 | 
5 | way/1051911439 | 100 | - | - | - | 0.007 | 2 | 27 | Y | 21.27920,45.77424 | 21.27910,45.77422 | 
6 | way/895017073 | 100 | - | - | - | 0.009 | 2 | 27 | Y | 21.26780,45.77249 | 21.26768,45.77248 | 
7 | way/895017075 | 213 | - | - | - | 0.009 | 2 | 17 | Y | 21.26779,45.77255 | 21.26768,45.77254 | 
8 | way/895017076 | 213 | - | - | - | 0.009 | 2 | 17 | Y | 21.26791,45.77255 | 21.26779,45.77255 | 
9 | way/895017074 | 100 | - | - | - | 0.009 | 2 | 27 | Y | 21.26792,45.77250 | 21.26780,45.77249 | 
10 | way/1067858894 | 213 | - | - | - | 0.010 | 2 | 17 | Y | 21.30628,45.82045 | 21.30621,45.82036 | 
11 | way/917821315 | 213 | - | - | - | 0.014 | 2 | 17 | Y | 21.28054,45.84203 | 21.28048,45.84191 | 
12 | way/99614785 | 310 | 218 | - | - | 0.014 | 2 | 26 | Y | 21.15014,45.83955 | 21.15009,45.83967 | 
13 | way/224984832 | 100 | - | - | - | 0.017 | 2 | 27 | Y | 21.38002,45.78824 | 21.37980,45.78822 | 
14 | way/127720013 | 218 | 133 | - | - | 0.020 | 2 | 8 | Y | 21.12547,45.81866 | 21.12526,45.81876 | 
15 | way/1337367620 | 218 | 133 | - | - | 0.020 | 2 | 8 | Y | 21.16529,45.79844 | 21.16522,45.79861 | 
16 | way/5060140 | 100 | - | - | - | 0.020 | 2 | 27 | Y | 21.21607,45.75227 | 21.21581,45.75224 | 
17 | way/24831542 | 122 | 124 | 922 | - | 0.021 | 2 | 16 | Y | 21.19216,45.73402 | 21.19234,45.73387 | 
18 | way/186964691 | 100 | - | - | - | 0.023 | 2 | 27 | Y | 21.22661,45.76215 | 21.22632,45.76210 | 
19 | way/24900726 | 122 | 124 | 922 | - | 0.024 | 2 | 16 | Y | 21.18570,45.73991 | 21.18584,45.73972 | 
20 | way/99416241 | 126 | 132 | 926 | - | 0.024 | 2 | 7 | Y | 21.18565,45.73989 | 21.18579,45.73970 | 
21 | way/99614788 | 310 | 218 | - | - | 0.024 | 2 | 26 | Y | 21.14916,45.84269 | 21.14913,45.84291 | 
22 | way/186964697 | 100 | - | - | - | 0.027 | 2 | 27 | Y | 21.23318,45.76295 | 21.23284,45.76291 | 
23 | way/99416414 | 122 | 124 | 922 | - | 0.028 | 2 | 16 | Y | 21.18584,45.73972 | 21.18599,45.73949 | 
24 | way/99416339 | 126 | 132 | 926 | - | 0.028 | 2 | 7 | Y | 21.18579,45.73970 | 21.18594,45.73947 | 
25 | way/338366568 | - | - | - | - | 0.030 | 2 | 23 | N | 21.19108,45.74864 | 21.19144,45.74872 | ORFAN (no ref/name)
26 | way/186964692 | 100 | - | - | - | 0.031 | 2 | 27 | Y | 21.22038,45.75659 | 21.22033,45.75632 | 
27 | way/921792872 | - | - | - | - | 0.034 | 3 | 23 | N | 21.20449,45.71333 | 21.20460,45.71304 | ORFAN (no ref/name)
